City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Padang,ID,-0.9492,100.3543,79.09,79,96,3.0,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,46.06,66,20,0.0,few clouds
2,Port Blair,IN,11.6667,92.75,82.44,78,20,2.3,mist
3,Rikitea,PF,-23.1203,-134.9692,78.96,74,35,17.98,scattered clouds
4,Port Elizabeth,ZA,-33.918,25.5701,66.09,81,100,16.11,overcast clouds
5,Kapaa,US,22.0752,-159.319,73.72,84,100,17.27,overcast clouds
6,Laguna,US,38.421,-121.4238,63.05,36,0,21.85,clear sky
7,Saint-Paul,RE,-21.0096,55.2707,80.71,83,30,1.77,light rain
8,San Cristobal,VE,7.7669,-72.225,77.18,35,87,9.44,overcast clouds
9,Cidreira,BR,-30.1811,-50.2056,72.57,79,84,9.35,broken clouds
10,Puerto Ayora,EC,-0.7393,-90.3518,82.36,72,100,5.7,overcast clouds
11,Carnarvon,AU,-24.8667,113.6333,71.67,73,0,17.27,clear sky
12,Bilibino,RU,68.0546,166.4372,-12.96,99,100,1.95,overcast clouds
13,Cape Town,ZA,-33.9258,18.4232,79.21,49,0,12.66,clear sky
14,Port Alfred,ZA,-33.5906,26.891,63.18,92,99,5.01,light rain
15,Mataura,NZ,-46.1927,168.8643,43.5,98,83,3.09,broken clouds
16,Batagay-Alyta,RU,67.8006,130.4114,-5.39,99,91,4.94,overcast clouds
17,Upernavik,GL,72.7868,-56.1549,3.58,91,98,8.88,overcast clouds
18,General Pico,AR,-35.6566,-63.7568,83.35,39,0,18.07,clear sky
19,Kurchum,KZ,48.5722,83.6542,38.82,63,0,7.56,clear sky
20,Kaitangata,NZ,-46.2817,169.8464,50.81,83,32,9.91,scattered clouds
21,Bredasdorp,ZA,-34.5322,20.0403,62.65,76,16,22.84,few clouds
22,Nuuk,GL,64.1835,-51.7216,27.21,74,75,12.66,broken clouds
23,Gejiu,CN,23.306,103.1635,53.11,80,2,3.69,clear sky
24,Norman Wells,CA,65.282,-126.8329,10.44,72,75,28.77,broken clouds
25,Punta Arenas,CL,-53.15,-70.9167,44.71,87,75,8.05,broken clouds
26,Bilma,NE,18.6853,12.9164,104.13,4,0,3.6,clear sky
27,Tuktoyaktuk,CA,69.4541,-133.0374,5.0,85,100,21.85,light snow
28,Pipar,IN,26.3856,73.5378,91.42,12,3,9.35,clear sky
29,Ribeira Grande,PT,38.5167,-28.7,59.4,67,40,26.46,scattered clouds
30,Picton,AU,-34.1833,150.6,62.89,96,93,1.28,overcast clouds
31,Khatanga,RU,71.9667,102.5,-1.48,100,64,5.23,broken clouds
32,Maroantsetra,MG,-15.4333,49.7333,76.95,87,34,10.04,light rain
33,Balabac,PH,7.9868,117.0645,79.27,86,100,17.78,light rain
34,Albany,US,42.6001,-73.9662,45.23,89,100,5.77,moderate rain
35,Provideniya,RU,64.3833,-173.3,22.87,98,100,5.08,snow
36,Namibe,AO,-15.1961,12.1522,74.44,72,4,8.9,clear sky
37,Tampakan,PH,6.4442,124.9264,74.8,94,96,1.5,overcast clouds
38,Bluff,NZ,-46.6,168.3333,57.0,77,91,21.32,overcast clouds
39,Busselton,AU,-33.65,115.3333,59.79,59,98,6.89,overcast clouds
40,Dikson,RU,73.5069,80.5464,7.48,96,99,4.23,overcast clouds
41,Hofn,IS,64.2539,-15.2082,33.26,48,73,5.37,broken clouds
42,Leninskoye,KZ,41.7589,69.3864,67.1,51,100,4.0,overcast clouds
43,Alta Floresta,BR,-9.8756,-56.0861,89.42,62,20,2.3,few clouds
44,Sioux Lookout,CA,50.1001,-91.917,30.27,51,20,3.44,few clouds
45,Butaritari,KI,3.0707,172.7902,79.83,82,82,11.12,moderate rain
46,Praya,CV,14.9215,-23.5087,86.54,35,0,18.41,clear sky
47,Yulara,AU,-25.2406,130.9889,62.44,31,0,2.3,clear sky
48,Bridlington,GB,54.0831,-0.1919,49.89,62,80,8.99,broken clouds
49,Lavrentiya,RU,65.5833,-171.0,9.18,95,100,3.49,overcast clouds
50,Kuito,AO,-12.3833,16.9333,78.94,73,40,9.22,scattered clouds
51,Hermanus,ZA,-34.4187,19.2345,67.8,65,0,24.67,clear sky
52,Chapais,CA,49.7834,-74.8492,35.38,92,99,9.33,overcast clouds
53,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,75,5.75,broken clouds
54,Yellowknife,CA,62.456,-114.3525,21.42,82,40,21.85,scattered clouds
55,Challapata,BO,-18.9,-66.7667,57.04,52,79,9.82,broken clouds
56,Beloha,MG,-25.1667,45.05,74.14,80,37,16.96,scattered clouds
57,Roald,NO,62.5833,6.1333,42.75,93,75,13.8,broken clouds
58,Innisfail,AU,-17.5333,146.0333,74.01,92,74,5.1,broken clouds
59,Yerbogachen,RU,61.2767,108.0108,16.59,91,41,6.29,scattered clouds
60,Ponca City,US,36.707,-97.0856,60.94,32,0,8.05,clear sky
61,Aklavik,CA,68.2191,-135.0107,5.0,66,75,11.5,broken clouds
62,Avarua,CK,-21.2078,-159.775,82.45,78,40,10.36,scattered clouds
63,Floro,NO,61.5996,5.0328,36.97,80,40,20.71,scattered clouds
64,Chuy,UY,-33.6971,-53.4616,77.07,54,4,6.04,clear sky
65,Hobart,AU,-42.8794,147.3294,65.26,77,100,8.05,overcast clouds
66,Turukhansk,RU,65.8167,87.9833,6.19,97,99,6.96,overcast clouds
67,Mandalgovi,MN,45.7625,106.2708,39.72,61,0,14.92,clear sky
68,Pisco,PE,-13.7,-76.2167,69.85,78,0,6.91,clear sky
69,Mitsamiouli,KM,-11.3847,43.2844,83.26,76,100,9.44,light rain
70,Luderitz,NA,-26.6481,15.1594,69.08,53,0,2.57,clear sky
71,Qaanaaq,GL,77.484,-69.3632,-0.99,72,10,4.7,clear sky
72,Saint-Philippe,RE,-21.3585,55.7679,80.19,85,43,11.07,scattered clouds
73,Coquimbo,CL,-29.9533,-71.3436,56.93,94,100,4.61,overcast clouds
74,Makakilo City,US,21.3469,-158.0858,73.72,74,0,10.36,clear sky
75,San Quintin,MX,30.4833,-115.95,71.26,48,8,4.29,clear sky
76,Belomorsk,RU,64.5232,34.7668,36.25,80,15,12.41,few clouds
77,Hithadhoo,MV,-0.6,73.0833,83.86,68,87,7.7,overcast clouds
78,Bartica,GY,6.4,-58.6167,86.32,88,73,4.56,broken clouds
79,Airai,TL,-8.9266,125.4092,58.86,75,98,2.48,overcast clouds
80,Vaini,TO,-21.2,-175.2,75.36,94,20,2.3,few clouds
81,Jamestown,US,42.097,-79.2353,42.39,50,100,12.66,overcast clouds
82,Ponta Do Sol,PT,32.6667,-17.1,68.72,66,59,5.79,broken clouds
83,Ostrovnoy,RU,68.0531,39.5131,37.2,99,100,19.84,overcast clouds
84,Naryan-Mar,RU,67.6713,53.087,33.96,97,100,16.49,overcast clouds
85,East London,ZA,-33.0153,27.9116,63.54,94,75,9.22,broken clouds
86,Moen,NO,69.1304,18.6123,41.72,56,75,3.44,broken clouds
87,Ixtapa,MX,20.7,-105.2,72.63,78,0,0.0,clear sky
88,Marzuq,YE,14.4,46.4667,74.61,38,14,12.5,few clouds
