City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Wilmington,US,2022-04-04 20:35:21,34.2257,-77.9447,66.94,46,0,5.75
1,Bluff,NZ,2022-04-04 20:37:14,-46.6,168.3333,56.46,79,100,7.4
2,Hobart,AU,2022-04-04 20:40:20,-42.8794,147.3294,55.26,81,75,16.11
3,Phuket,TH,2022-04-04 20:40:21,8.0,98.25,85.08,94,20,0.0
4,Mulege,MX,2022-04-04 20:40:21,26.8833,-111.9833,74.17,42,0,10.31
5,Ushuaia,AR,2022-04-04 20:37:48,-54.8,-68.3,42.42,81,40,26.46
6,Zyryanka,RU,2022-04-04 20:40:22,65.75,150.85,-3.32,97,100,6.08
7,Cape Town,ZA,2022-04-04 20:37:10,-33.9258,18.4232,62.89,89,40,8.05
8,Carnarvon,AU,2022-04-04 20:40:23,-24.8667,113.6333,71.67,88,0,11.5
9,West Bay,KY,2022-04-04 20:40:23,19.3667,-81.4167,86.07,66,20,4.61
10,Warrington,GB,2022-04-04 20:40:24,53.3925,-2.5802,52.45,90,75,24.16
11,Mataura,NZ,2022-04-04 20:40:24,-46.1927,168.8643,57.18,70,100,2.66
12,Albany,US,2022-04-04 20:36:44,42.6001,-73.9662,50.65,48,100,3.0
13,Huarmey,PE,2022-04-04 20:40:25,-10.0681,-78.1522,74.07,75,55,11.77
14,Hermanus,ZA,2022-04-04 20:40:25,-34.4187,19.2345,56.8,83,11,11.81
15,Beinamar,TD,2022-04-04 20:40:26,8.6698,15.3813,85.57,38,99,7.23
16,Puerto Ayora,EC,2022-04-04 20:40:26,-0.7393,-90.3518,82.54,87,64,4.0
17,Bandarbeyla,SO,2022-04-04 20:40:27,9.4942,50.8122,78.06,74,78,1.59
18,Takoradi,GH,2022-04-04 20:40:27,4.8845,-1.7554,81.43,83,77,10.13
19,Lekoni,GA,2022-04-04 20:40:27,-1.5843,14.2591,74.32,86,98,4.25
20,Hamilton,US,2022-04-04 20:35:37,39.1834,-84.5333,60.89,52,100,9.22
21,Pevek,RU,2022-04-04 20:40:28,69.7008,170.3133,-16.89,96,32,3.53
22,Suslovo,RU,2022-04-04 20:40:28,56.2167,88.1167,34.25,92,100,6.73
23,Rio Gallegos,AR,2022-04-04 20:40:29,-51.6226,-69.2181,48.25,43,40,29.93
24,Berlevag,NO,2022-04-04 20:40:29,70.8578,29.0864,19.35,68,20,3.44
25,Plettenberg Bay,ZA,2022-04-04 20:40:29,-34.0527,23.3716,61.45,84,0,7.76
26,Kharitonovo,RU,2022-04-04 20:40:30,61.4009,47.4978,9.41,98,78,2.19
27,Katsuura,JP,2022-04-04 20:40:30,35.1333,140.3,50.65,90,100,26.6
28,Nikolsk,RU,2022-04-04 20:40:30,53.7189,46.0712,22.5,94,100,8.05
